city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kleppe,58.7667,5.6667,Norway,NO,Rogaland,minor,,
Os,60.1835,5.4666,Norway,NO,Hordaland,minor,,
Fjerdingby,59.9255,11.0865,Norway,NO,Akershus,minor,,
Jessheim,60.1500,11.1833,Norway,NO,Akershus,minor,,
Langevåg,62.4372,6.1889,Norway,NO,Møre og Romsdal,minor,,
Stord,59.7738,5.4903,Norway,NO,Hordaland,minor,,
Bryne,58.7333,5.6500,Norway,NO,Rogaland,minor,,
Nittedal,60.0225,10.9239,Norway,NO,Akershus,minor,,
Rong,60.5133,4.9033,Norway,NO,Hordaland,minor,,
Røst,67.5167,12.1167,Norway,NO,Nordland,minor,,
Lier,59.7925,10.2525,Norway,NO,Buskerud,minor,,
Ulsteinvik,62.3333,5.8833,Norway,NO,Møre og Romsdal,minor,,
Sørumsand,59.9667,11.2500,Norway,NO,Akershus,minor,,
Frekhaug,60.5172,5.2461,Norway,NO,Hordaland,minor,,
Fetsund,59.9333,11.1667,Norway,NO,Akershus,minor,,
Skogsvåg,60.2556,5.1017,Norway,NO,Hordaland,minor,,
Hommelvik,63.4087,10.7995,Norway,NO,Sør-Trøndelag,minor,,
Gjerdrum,60.0833,11.1000,Norway,NO,Akershus,minor,,
Kvitsøy,59.0632,5.4161,Norway,NO,Rogaland,minor,,
Søgne,58.0833,7.8167,Norway,NO,Vest-Agder,minor,,
Fedje,60.7811,4.7131,Norway,NO,Sogn og Fjordane,minor,,
Mandal,58.0333,7.4500,Norway,NO,Vest-Agder,minor,,
Varhaug,58.6167,5.6500,Norway,NO,Rogaland,minor,,
Vikevåg,59.0981,5.6981,Norway,NO,Rogaland,minor,,
Råde,59.3500,10.8500,Norway,NO,Østfold,minor,,
Steinshamn,62.7833,6.4833,Norway,NO,Møre og Romsdal,minor,,
Sætre,59.6817,10.5247,Norway,NO,Buskerud,minor,,
Hareid,62.3667,6.0333,Norway,NO,Møre og Romsdal,minor,,
Austrheim,60.7644,4.9135,Norway,NO,Hordaland,minor,,
Falkhytta,62.8058,6.8858,Norway,NO,Møre og Romsdal,minor,,
Eidsvoll,60.3167,11.2333,Norway,NO,Akershus,minor,,
Jørpeland,59.0167,6.0500,Norway,NO,Rogaland,minor,,
Halden,59.1500,11.3833,Norway,NO,Østfold,minor,,
Raufoss,60.7167,10.6167,Norway,NO,Oppland,minor,,
Mysen,59.5500,11.3333,Norway,NO,Østfold,minor,,
Manger,60.6417,5.0392,Norway,NO,Hordaland,minor,,
Bremnes,59.7953,5.1753,Norway,NO,Hordaland,minor,,
Skjærhalden,59.0333,11.0333,Norway,NO,Østfold,minor,,
Langesund,59.0000,9.7500,Norway,NO,Telemark,minor,,
Storebø,60.0924,5.2322,Norway,NO,Hordaland,minor,,
Spydeberg,59.6000,11.0833,Norway,NO,Østfold,minor,,
Hokksund,59.7719,9.8839,Norway,NO,Buskerud,minor,,
Straumen,63.8712,11.2994,Norway,NO,Nord-Trøndelag,minor,,
Skodje,62.5167,6.7167,Norway,NO,Møre og Romsdal,minor,,
Skiptvet,59.4600,11.1601,Norway,NO,Østfold,minor,,
Vennesla,58.2833,7.9833,Norway,NO,Vest-Agder,minor,,
Risør,58.7167,9.2333,Norway,NO,Aust-Agder,minor,,
Røyse,60.0769,10.1965,Norway,NO,Buskerud,minor,,
Nannestad,60.2124,11.0044,Norway,NO,Akershus,minor,,
Sørland,67.6667,12.7000,Norway,NO,Nordland,minor,,
Klæbu,63.2989,10.4805,Norway,NO,Sør-Trøndelag,minor,,
Frosta,63.5889,10.7719,Norway,NO,Nord-Trøndelag,minor,,
Hobøl,59.5984,10.9420,Norway,NO,Østfold,minor,,
Kongsberg,59.6500,9.6500,Norway,NO,Buskerud,minor,,
Isdalstø,60.5556,5.2692,Norway,NO,Hordaland,minor,,
Brattvåg,62.6000,6.4500,Norway,NO,Møre og Romsdal,minor,,
Kragerø,58.8667,9.4167,Norway,NO,Telemark,minor,,
Børsa,63.3277,10.0683,Norway,NO,Sør-Trøndelag,minor,,
Jevnaker,60.2500,10.4667,Norway,NO,Oppland,minor,,
Bruhagen,63.0533,7.6323,Norway,NO,Møre og Romsdal,minor,,
Årnes,60.1500,11.4667,Norway,NO,Akershus,minor,,
Roa,60.2833,10.6167,Norway,NO,Oppland,minor,,
Farsund,58.0833,6.8000,Norway,NO,Vest-Agder,minor,,
Stange,60.7167,11.1833,Norway,NO,Hedmark,minor,,
Lena,60.6667,10.8000,Norway,NO,Oppland,minor,,
Utsira,59.3000,4.9000,Norway,NO,Rogaland,minor,,
Nodeland,58.1500,7.8500,Norway,NO,Vest-Agder,minor,,
Brumunddal,60.8833,10.9333,Norway,NO,Hedmark,minor,,
Lonevåg,60.5333,5.5000,Norway,NO,Hordaland,minor,,
Trøgstad,59.6459,11.2945,Norway,NO,Østfold,minor,,
Sistranda,63.7277,8.8267,Norway,NO,Sør-Trøndelag,minor,,
Vikersund,59.9833,10.0333,Norway,NO,Buskerud,minor,,
Judaberg,59.1833,5.8500,Norway,NO,Rogaland,minor,,
Aksdal,59.4259,5.4290,Norway,NO,Rogaland,minor,,
Leknes,68.1452,13.5993,Norway,NO,Nordland,minor,,
Elnesvågen,62.8538,7.1536,Norway,NO,Møre og Romsdal,minor,,
Stjørdal,63.4703,10.9122,Norway,NO,Nord-Trøndelag,minor,,
Sykkylven,62.3972,6.5832,Norway,NO,Møre og Romsdal,minor,,
Melhus,63.2858,10.2810,Norway,NO,Sør-Trøndelag,minor,,
Sveio,59.5447,5.3492,Norway,NO,Hordaland,minor,,
Bø,59.4167,9.0667,Norway,NO,Telemark,minor,,
Eide,62.9167,7.4333,Norway,NO,Møre og Romsdal,minor,,
Ålgård,58.7667,5.8500,Norway,NO,Rogaland,minor,,
Våler,59.4874,10.8527,Norway,NO,Østfold,minor,,
Midsund,62.6833,6.6833,Norway,NO,Møre og Romsdal,minor,,
Orkanger,63.3122,9.8533,Norway,NO,Sør-Trøndelag,minor,,
Lyngdal,58.1333,7.0833,Norway,NO,Vest-Agder,minor,,
Løten,60.8167,11.3167,Norway,NO,Hedmark,minor,,
Jaren,60.3833,10.5500,Norway,NO,Oppland,minor,,
Hønefoss,60.1667,10.3000,Norway,NO,Buskerud,minor,,
Vestnes,62.6333,7.0833,Norway,NO,Møre og Romsdal,minor,,
Rakkestad,59.4333,11.3500,Norway,NO,Østfold,minor,,
Bokn,59.2236,5.4452,Norway,NO,Rogaland,minor,,
Sogndal,61.2315,7.1027,Norway,NO,Sogn og Fjordane,minor,,
Sortland,68.7019,15.4239,Norway,NO,Nordland,minor,,
Fitjar,59.9175,5.3228,Norway,NO,Hordaland,minor,,
Larsnes,62.2167,5.6000,Norway,NO,Møre og Romsdal,minor,,
Ølen,59.6036,5.8075,Norway,NO,Rogaland,minor,,
Bjørkelangen,59.8833,11.5667,Norway,NO,Akershus,minor,,
Ulefoss,59.2833,9.2667,Norway,NO,Telemark,minor,,
Skarnes,60.2500,11.6833,Norway,NO,Hedmark,minor,,
Ørskog,62.4789,6.8116,Norway,NO,Møre og Romsdal,minor,,
Flekkefjord,58.2833,6.6833,Norway,NO,Vest-Agder,minor,,
Volda,62.1500,6.1000,Norway,NO,Møre og Romsdal,minor,,
Vigeland,58.0833,7.3000,Norway,NO,Vest-Agder,minor,,
Akkerhaugen,59.3940,9.2471,Norway,NO,Telemark,minor,,
Nordfjordeid,61.9000,6.0000,Norway,NO,Sogn og Fjordane,minor,,
Norheimsund,60.3667,6.1333,Norway,NO,Hordaland,minor,,
Rosendal,59.9833,6.0167,Norway,NO,Hordaland,minor,,
Myre,68.9000,15.0833,Norway,NO,Nordland,minor,,
Ørsta,62.2000,6.1500,Norway,NO,Møre og Romsdal,minor,,
Botngård,63.7688,9.8115,Norway,NO,Sør-Trøndelag,minor,,
Hermansverk,61.1833,6.8500,Norway,NO,Sogn og Fjordane,minor,,
Siljan,59.3000,9.7000,Norway,NO,Telemark,minor,,
Selje,62.0492,5.3481,Norway,NO,Sogn og Fjordane,minor,,
Hauge,58.3500,6.2833,Norway,NO,Rogaland,minor,,
Rissa,63.5832,9.9591,Norway,NO,Sør-Trøndelag,minor,,
Sagstua,60.3885,11.5376,Norway,NO,Hedmark,minor,,
Straumsjøen,68.6944,14.4718,Norway,NO,Nordland,minor,,
Vik,65.3000,12.1500,Norway,NO,Nordland,minor,,
Uggdal,60.0089,5.5122,Norway,NO,Hordaland,minor,,
Ørnes,66.8667,13.7000,Norway,NO,Nordland,minor,,
Skotterud,59.9833,12.1167,Norway,NO,Hedmark,minor,,
Tysse,60.3708,5.7561,Norway,NO,Hordaland,minor,,
Eikelandsosen,60.2394,5.7539,Norway,NO,Hordaland,minor,,
Verdal,63.7917,11.4846,Norway,NO,Nord-Trøndelag,minor,,
Nesna,66.2000,13.0333,Norway,NO,Nordland,minor,,
Fauske,67.2627,15.3913,Norway,NO,Nordland,minor,,
Fiskå,62.0999,5.5566,Norway,NO,Møre og Romsdal,minor,,
Sørreisa,69.1387,18.1798,Norway,NO,Troms,minor,,
Hurdal,60.3962,11.0277,Norway,NO,Akershus,minor,,
Moi,58.4667,6.5333,Norway,NO,Rogaland,minor,,
Ørje,59.4833,11.6500,Norway,NO,Østfold,minor,,
Askvoll,61.3465,5.0597,Norway,NO,Sogn og Fjordane,minor,,
Reine,67.9337,13.0891,Norway,NO,Nordland,minor,,
Froland,58.5333,8.6500,Norway,NO,Aust-Agder,minor,,
Hov,60.7000,10.3500,Norway,NO,Oppland,minor,,
Gol,60.7000,8.9500,Norway,NO,Buskerud,minor,,
Tingvoll,62.9131,8.2056,Norway,NO,Møre og Romsdal,minor,,
Hopen,63.4667,8.0167,Norway,NO,Møre og Romsdal,minor,,
Sauda,59.6500,6.3333,Norway,NO,Rogaland,minor,,
Lurøy,66.4170,12.8447,Norway,NO,Nordland,minor,,
Øyer,61.2672,10.4244,Norway,NO,Oppland,minor,,
Mosjøen,65.8333,13.2000,Norway,NO,Nordland,minor,,
Solfjellsjøen,66.1167,12.4833,Norway,NO,Nordland,minor,,
Voss,60.6318,6.4167,Norway,NO,Hordaland,minor,,
Gjerstad,58.8667,9.0000,Norway,NO,Aust-Agder,minor,,
Birkeland,58.3333,8.2333,Norway,NO,Aust-Agder,minor,,
Naustdal,61.5167,5.7167,Norway,NO,Sogn og Fjordane,minor,,
Ramberg,68.0833,13.2333,Norway,NO,Nordland,minor,,
Dokka,60.8333,10.0833,Norway,NO,Oppland,minor,,
Flisa,60.6078,12.0521,Norway,NO,Hedmark,minor,,
Dale,61.3667,5.4167,Norway,NO,Sogn og Fjordane,minor,,
Fillan,63.6015,8.9657,Norway,NO,Sør-Trøndelag,minor,,
Hornindal,61.9693,6.5225,Norway,NO,Møre og Romsdal,minor,,
Stryn,61.9167,6.7833,Norway,NO,Sogn og Fjordane,minor,,
Evje,58.6000,7.8500,Norway,NO,Aust-Agder,minor,,
Batnfjordsøra,62.8833,7.7000,Norway,NO,Møre og Romsdal,minor,,
Kvinesdal,58.3167,6.9500,Norway,NO,Vest-Agder,minor,,
Kyrksæterøra,63.2906,9.0899,Norway,NO,Sør-Trøndelag,minor,,
Dale,60.5833,5.8167,Norway,NO,Hordaland,minor,,
Meldal,63.0461,9.7103,Norway,NO,Sør-Trøndelag,minor,,
Noresund,60.1667,9.6167,Norway,NO,Buskerud,minor,,
Sandane,61.7667,6.2167,Norway,NO,Sogn og Fjordane,minor,,
Skjervøy,70.0333,20.9833,Norway,NO,Troms,minor,,
Kirkenær,60.4667,12.0500,Norway,NO,Hedmark,minor,,
Evenskjer,68.5833,16.5667,Norway,NO,Troms,minor,,
Etne,59.6667,5.9333,Norway,NO,Hordaland,minor,,
Konsmo,58.3000,7.4000,Norway,NO,Vest-Agder,minor,,
Vegårshei,58.7667,8.8000,Norway,NO,Aust-Agder,minor,,
Årdalstangen,61.2333,7.7167,Norway,NO,Sogn og Fjordane,minor,,
Marnardal,58.2124,7.5117,Norway,NO,Vest-Agder,minor,,
Leka,65.0882,11.7129,Norway,NO,Nord-Trøndelag,minor,,
Stranda,62.3167,6.9000,Norway,NO,Møre og Romsdal,minor,,
Skei,61.5716,6.4790,Norway,NO,Sogn og Fjordane,minor,,
Våler,60.6667,11.8333,Norway,NO,Hedmark,minor,,
Bogen,68.5262,16.9923,Norway,NO,Nordland,minor,,
Aure,63.2667,8.5333,Norway,NO,Møre og Romsdal,minor,,
Iveland,58.4473,7.9163,Norway,NO,Aust-Agder,minor,,
Hyllestad,61.1667,5.3000,Norway,NO,Sogn og Fjordane,minor,,
Hamnvik,68.7833,17.1833,Norway,NO,Troms,minor,,
Vinstra,61.6000,9.7500,Norway,NO,Oppland,minor,,
Østre Gausdal,61.2581,10.1539,Norway,NO,Oppland,minor,,
Liabøen,63.1167,8.3000,Norway,NO,Møre og Romsdal,minor,,
Ranemsletta,64.4936,11.9483,Norway,NO,Nord-Trøndelag,minor,,
Slidre,61.0883,8.9808,Norway,NO,Oppland,minor,,
Sande,61.3333,5.8000,Norway,NO,Sogn og Fjordane,minor,,
Lensvik,63.5110,9.8089,Norway,NO,Sør-Trøndelag,minor,,
Lampeland,59.8342,9.5759,Norway,NO,Buskerud,minor,,
Fossby,59.2167,11.7000,Norway,NO,Østfold,minor,,
Høyanger,61.2167,6.0833,Norway,NO,Sogn og Fjordane,minor,,
Svelgen,61.7667,5.3000,Norway,NO,Sogn og Fjordane,minor,,
Sjøvegan,68.8733,17.8644,Norway,NO,Troms,minor,,
Kolvereid,64.8623,11.6041,Norway,NO,Nord-Trøndelag,minor,,
Jondal,60.2833,6.2833,Norway,NO,Hordaland,minor,,
Vikeså,58.6333,6.1000,Norway,NO,Rogaland,minor,,
Seljord,59.4833,8.6167,Norway,NO,Telemark,minor,,
Borkenes,68.7833,16.1833,Norway,NO,Troms,minor,,
Leland,66.0667,12.9500,Norway,NO,Nordland,minor,,
Surnadal,62.9754,8.7246,Norway,NO,Møre og Romsdal,minor,,
Malm,64.0719,11.2187,Norway,NO,Nord-Trøndelag,minor,,
Sør-Fron,61.5667,9.9333,Norway,NO,Oppland,minor,,
Sunndalsøra,62.6667,8.5500,Norway,NO,Møre og Romsdal,minor,,
Lødingen,68.4162,15.9953,Norway,NO,Nordland,minor,,
Nesbyen,60.5667,9.1000,Norway,NO,Buskerud,minor,,
Ål,60.6333,8.5667,Norway,NO,Buskerud,minor,,
Granvin,60.5500,6.7167,Norway,NO,Hordaland,minor,,
Prestfoss,60.0333,9.6333,Norway,NO,Buskerud,minor,,
Brøstadbotn,69.0794,17.7014,Norway,NO,Troms,minor,,
Hardbakke,61.0833,4.8500,Norway,NO,Sogn og Fjordane,minor,,
Drangedal,59.1000,9.0667,Norway,NO,Telemark,minor,,
Hol,68.5333,16.4000,Norway,NO,Nordland,minor,,
Kviteseid,59.4000,8.5000,Norway,NO,Telemark,minor,,
Stordal,62.3820,6.9861,Norway,NO,Møre og Romsdal,minor,,
Lyngseidet,69.5833,20.2167,Norway,NO,Troms,minor,,
Eivinvik,60.9833,5.0667,Norway,NO,Sogn og Fjordane,minor,,
Storsteinnes,69.2407,19.2344,Norway,NO,Troms,minor,,
Ringebu,61.5167,10.1667,Norway,NO,Oppland,minor,,
Tingvatn,58.4000,7.2333,Norway,NO,Vest-Agder,minor,,
Gryllefjord,69.3667,17.0167,Norway,NO,Troms,minor,,
Årnes,63.9611,10.2274,Norway,NO,Sør-Trøndelag,minor,,
Selbu,63.2170,11.0400,Norway,NO,Sør-Trøndelag,minor,,
Heggenes,61.1500,9.0833,Norway,NO,Oppland,minor,,
Vikøyri,61.0833,6.5833,Norway,NO,Sogn og Fjordane,minor,,
Rena,61.1333,11.3667,Norway,NO,Hedmark,minor,,
Årstein,68.6890,17.5449,Norway,NO,Troms,minor,,
Tennevoll,68.7466,17.8038,Norway,NO,Troms,minor,,
Støren,63.0372,10.2856,Norway,NO,Sør-Trøndelag,minor,,
Korgen,66.0833,13.8333,Norway,NO,Nordland,minor,,
Rollag,60.0227,9.2695,Norway,NO,Buskerud,minor,,
Rindal,63.0500,9.2167,Norway,NO,Møre og Romsdal,minor,,
Hemsedal,60.8667,8.5667,Norway,NO,Buskerud,minor,,
Masfjordnes,60.8000,5.3000,Norway,NO,Hordaland,minor,,
Oppdal,62.5976,9.6984,Norway,NO,Sør-Trøndelag,minor,,
Vågå,61.8688,9.1233,Norway,NO,Oppland,minor,,
Tynset,62.2729,10.7804,Norway,NO,Hedmark,minor,,
Ballangen,68.3405,16.8260,Norway,NO,Nordland,minor,,
Skaland,69.4500,17.3000,Norway,NO,Troms,minor,,
Eidsvåg,62.7819,8.0711,Norway,NO,Møre og Romsdal,minor,,
Bruflat,60.8833,9.6167,Norway,NO,Oppland,minor,,
Inndyr,67.0333,14.0333,Norway,NO,Nordland,minor,,
Bagn,60.8167,9.5667,Norway,NO,Oppland,minor,,
Hjelmeland,59.2333,6.1833,Norway,NO,Rogaland,minor,,
Vangsvik,69.1667,17.7333,Norway,NO,Troms,minor,,
Alvdal,62.1167,10.6500,Norway,NO,Hedmark,minor,,
Berkåk,62.8286,10.0101,Norway,NO,Sør-Trøndelag,minor,,
Roan,64.1729,10.2250,Norway,NO,Sør-Trøndelag,minor,,
Steinsdalen,64.2429,10.6926,Norway,NO,Sør-Trøndelag,minor,,
Dalen,59.4500,8.0000,Norway,NO,Telemark,minor,,
Kinsarvik,60.3758,6.7259,Norway,NO,Hordaland,minor,,
Leinesfjord,67.7765,15.0147,Norway,NO,Nordland,minor,,
Hol,60.6200,8.2972,Norway,NO,Buskerud,minor,,
Sand,59.4823,6.2788,Norway,NO,Rogaland,minor,,
Lauvsnes,64.5007,10.8959,Norway,NO,Nord-Trøndelag,minor,,
Hansnes,69.9667,19.6000,Norway,NO,Troms,minor,,
Gaupne,61.4048,7.2942,Norway,NO,Sogn og Fjordane,minor,,
Rognan,67.1000,15.3833,Norway,NO,Nordland,minor,,
Namdalseid,64.2229,11.2210,Norway,NO,Nord-Trøndelag,minor,,
Olderdalen,69.6167,20.5333,Norway,NO,Troms,minor,,
Trysil,61.3167,12.2667,Norway,NO,Hedmark,minor,,
Meråker,63.4207,11.7552,Norway,NO,Nord-Trøndelag,minor,,
Sauland,59.6203,8.9278,Norway,NO,Telemark,minor,,
Dovre,61.9833,9.2500,Norway,NO,Oppland,minor,,
Balestrand,61.2000,6.5333,Norway,NO,Sogn og Fjordane,minor,,
Krokstadøra,63.3998,9.4987,Norway,NO,Sør-Trøndelag,minor,,
Grong,64.4646,12.3160,Norway,NO,Nord-Trøndelag,minor,,
Os,62.4958,11.2243,Norway,NO,Hedmark,minor,,
Moen,69.1333,18.6167,Norway,NO,Troms,minor,,
Vågaholmen,66.7091,13.2693,Norway,NO,Nordland,minor,,
Valldal,62.3333,7.3500,Norway,NO,Møre og Romsdal,minor,,
Oppeid,68.0856,15.6117,Norway,NO,Nordland,minor,,
Lærdalsøyri,61.1000,7.4833,Norway,NO,Sogn og Fjordane,minor,,
Treungen,59.0333,8.5500,Norway,NO,Telemark,minor,,
Høylandet,64.6272,12.2977,Norway,NO,Nord-Trøndelag,minor,,
Åmli,58.7833,8.5000,Norway,NO,Aust-Agder,minor,,
Ålen,62.8433,11.2994,Norway,NO,Sør-Trøndelag,minor,,
Forsand,58.9024,6.0964,Norway,NO,Rogaland,minor,,
Ulvik,60.5667,6.9000,Norway,NO,Hordaland,minor,,
Breivikbotn,70.5879,22.2848,Norway,NO,Finnmark,minor,,
Bardu,68.8656,18.3473,Norway,NO,Troms,minor,,
Tolga,62.4089,10.9986,Norway,NO,Hedmark,minor,,
Øksfjord,70.2392,22.3714,Norway,NO,Finnmark,minor,,
Storslett,69.7667,21.0167,Norway,NO,Troms,minor,,
Båtsfjord,70.6308,29.6972,Norway,NO,Finnmark,minor,,
Flå,60.4167,9.4667,Norway,NO,Buskerud,minor,,
Kjøpsvik,68.0966,16.3752,Norway,NO,Nordland,minor,,
Tonstad,58.6667,6.7167,Norway,NO,Vest-Agder,minor,,
Folldal,62.1358,9.9906,Norway,NO,Hedmark,minor,,
Straumen,67.3481,15.5972,Norway,NO,Nordland,minor,,
Lom,61.8333,8.5500,Norway,NO,Oppland,minor,,
Terråk,65.0833,12.4167,Norway,NO,Nordland,minor,,
Koppang,61.5667,11.0667,Norway,NO,Hedmark,minor,,
Åseral,58.6167,7.4167,Norway,NO,Vest-Agder,minor,,
Vinje,59.6201,7.8413,Norway,NO,Telemark,minor,,
Fyresdal,59.1885,8.0897,Norway,NO,Telemark,minor,,
Oteren,69.2554,19.8816,Norway,NO,Troms,minor,,
Skjåk,61.8811,8.3693,Norway,NO,Oppland,minor,,
Dun,64.6569,11.2646,Norway,NO,Nord-Trøndelag,minor,,
Vang,61.1245,8.5740,Norway,NO,Oppland,minor,,
Aurlandsvangen,60.9063,7.1864,Norway,NO,Sogn og Fjordane,minor,,
Havøysund,70.9988,24.6603,Norway,NO,Finnmark,minor,,
Rødberg,60.2711,8.9537,Norway,NO,Buskerud,minor,,
Bygland,58.8500,7.8500,Norway,NO,Aust-Agder,minor,,
Valle,59.2000,7.5333,Norway,NO,Aust-Agder,minor,,
Lesja,62.1212,8.8457,Norway,NO,Oppland,minor,,
Vevelstad,65.7167,12.4667,Norway,NO,Nordland,minor,,
Moldjord,67.0067,14.5764,Norway,NO,Nordland,minor,,
Mo,60.8167,5.8000,Norway,NO,Hordaland,minor,,
